IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;ANNEE_1mec;ANNEE_acq;age_mois_veh;KVAVCAT2R;KVCYLIND2R;KVQUICON2R01;KVQUICON2R02;KVQUICON2R03;KVQUICON2R04;KVQUICON2R05;KVQUICON2R06;KVQUICON2R07;KVQUICON2R08;KVQUICON2R09;KVQUICON2R10;KVQUICON2R11;KVQUICON2R12;KVQUICON2R13;KVQUICON2R14;KVQUICON2R15;KVQUICON2R16;KVQUICON2R17;KVQUICON2R18;KVQUICON2R19;KVQUICON2R20;KVQUICON2R21;KVQUICONP2R;KVPARK2R;KVKM1AN2R;KVKM1AN2RT
110000012400006;1100000124000;06;1698.1427817;2006;2007;149;1;680;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
110000012400007;1100000124000;07;1698.1427817;2003;2016;182;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
110000015400006;1100000154000;06;1824.952319;2016;2016;28;1;1298;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
110000015400007;1100000154000;07;1824.952319;2016;2016;28;1;847;2;;;;;;;;;;;;;;;;;;;;;;1;9000;
110000022700006;1100000227000;06;1986.984991;2003;2007;187;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
110000036500006;1100000365000;06;2021.0565974;2011;2017;98;1;998;2;1;;;;;;;;;;;;;;;;;;;;2;1;2500;
110000085400006;1100000854000;06;1998.8893324;1982;2011;444;3;49.8;1;;;;;;;;;;;;;;;;;;;;;;1;200;
110000092600006;1100000926000;06;2883.6171405;.;.;;2;;2;;;;;;;;;;;;;;;;;;;;;;1;;1
110000093300006;1100000933000;06;3290.0329976;2017;2018;12;2;125;2;;;;;;;;;;;;;;;;;;;;;;1;6000;
110000093500006;1100000935000;06;1688.66119;.;.;;1;696;2;;;;;;;;;;;;;;;;;;;;;;1;;1
110000096400006;1100000964000;06;2468.6083903;2006;2012;148;1;124;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
110000115400006;1100001154000;06;1862.6621106;2012;2012;84;1;645;1;;;;;;;;;;;;;;;;;;;;;;1;500;
110000123500006;1100001235000;06;1113.5333124;2017;2017;21;1;847;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
110000144600006;1100001446000;06;2391.4881858;2001;2014;203;1;;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
110000154700006;1100001547000;06;4066.479324;2017;2017;18;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
110000172400006;1100001724000;06;3277.539067;2015;2015;43;2;493;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
110000192400006;1100001924000;06;3520.3798419;2018;2018;2;1;1170;1;;;;;;;;;;;;;;;;;;;;;;2;3500;
110000196500006;1100001965000;06;1683.7601565;.;.;;2;125;1;;;;;;;;;;;;;;;;;;;;;;2;;9
110000206700006;1100002067000;06;2348.9818615;2010;.;100;2;49;2;;;;;;;;;;;;;;;;;;;;;;4;;3
110000215400006;1100002154000;06;3546.8854942;2017;2017;16;2;500;2;;;;;;;;;;;;;;;;;;;;;;1;10000;
110000225400006;1100002254000;06;3939.262384;2018;2018;5;2;125;1;;;;;;;;;;;;;;;;;;;;;;4;2600;
110000236400006;1100002364000;06;1820.8948376;2018;2018;10;1;1170;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
110000236500006;1100002365000;06;3053.9406177;2008;2018;132;2;124.7;1;;;;;;;;;;;;;;;;;;;;;;4;6000;
110000242700006;1100002427000;06;4753.4286263;2018;2018;7;2;400;2;;;;;;;;;;;;;;;;;;;;;;4;;9
110000243300006;1100002433000;06;1270.0887518;2010;2016;94;2;49;1;;;;;;;;;;;;;;;;;;;;;;1;;9
110000276400006;1100002764000;06;2979.0149978;2015;2015;46;1;800;1;;;;;;;;;;;;;;;;;;;;;;1;15000;
