IDENT_MEN;pond_menC;JNBVEH;JNBVHS;JNBVPHS;JNBCCHS;JNBVULHS;JNBMOTO;JNBCYCLO;JNBAUTVEH;JNBVELOAD;JNBVELOENF;JUTILMOTO;JUTILCYCLO;JUTILAUTVEH;JUTILVELOAD;JUTILVELOENF;JVOLVELO;JPLUSVELO;JNBKVM;JUTIL2RM;BLOGDIST
1100000114000;1842.9770767;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;2
1100000115000;1948.3824415;2;2;;;;0;0;0;2;4;;;;0;0;2;;2;0;1
1100000116000;833.45366972;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;4
1100000124000;1698.1427817;1;2;;;;2;0;0;1;0;2;;;1;;2;;1;2;1
1100000125000;1994.6334961;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100000135000;1921.6107867;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000136000;1571.0859053;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;9
1100000144000;1653.3892259;2;2;;;;0;0;0;1;0;;;;1;;2;;2;0;1
1100000146000;2937.6634796;2;2;;;;0;0;0;0;2;;;;;0;2;;2;0;2
1100000147000;2872.5229712;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000153000;2361.8706656;0;;;;;1;0;0;0;0;0;;;;;2;;0;0;1
1100000154000;1824.952319;2;2;;;;2;0;0;1;0;2;;;0;;2;;2;2;1
1100000155000;1590.5767484;2;2;;;;0;0;0;1;1;;;;1;1;2;;2;0;2
1100000157000;3111.1564806;1;1;0;0;0;0;0;0;0;0;;;;;;2;;1;0;1
1100000158000;1407.9949575;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100000165000;1491.220115;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;4
1100000167000;4779.5833131;0;;;;;0;0;0;0;1;;;;;1;2;;0;0;1
1100000223000;4016.9372092;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000225000;1583.2761194;2;2;;;;0;0;0;1;0;;;;1;;2;;2;0;1
1100000226000;2824.2395302;2;2;;;;0;0;0;3;1;;;;2;1;2;;2;0;1
1100000227000;1986.984991;2;2;;;;1;0;0;3;0;1;;;1;;2;;2;1;1
1100000228000;2647.6468652;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000234000;2463.0526103;2;2;;;;0;0;0;2;1;;;;0;1;2;;2;0;1
1100000235000;1269.2590565;2;2;;;;0;0;0;2;0;;;;2;;2;;2;0;1
