IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_velo;KVELOCAT;KVELOLDD;KVELOBTP;KVELOFREQ;KVELOQUI;KVELOUTIL_FLAG;KVELOUTIL_A;KVELOUTIL_B;KVELOUTIL_C;KVELOUTIL_D;KVPARKVELO;KVKM1SEM
110000012400021;1100000124000;21;1698.1427817;4;2;2;6;2;1;0;0;1;0;1;
110000014400021;1100000144000;21;1653.3892259;1;2;2;3;1;1;1;0;0;0;1;0
110000015500021;1100000155000;21;1590.5767484;4;2;2;5;2;1;0;1;0;0;5;
110000022500021;1100000225000;21;1583.2761194;2;2;2;6;1;1;0;1;0;0;1;
110000022600021;1100000226000;21;2824.2395302;1;2;2;6;1;1;0;1;0;0;5;
110000022600022;1100000226000;22;2824.2395302;1;2;2;6;2;1;0;1;0;0;5;
110000022700021;1100000227000;21;1986.984991;3;2;2;1;1;1;1;0;0;0;5;50
110000023500022;1100000235000;22;1269.2590565;4;2;2;3;2;1;0;1;0;0;1;10
110000023500021;1100000235000;21;1269.2590565;4;2;2;3;1;1;0;1;0;0;1;10
110000025700021;1100000257000;21;3009.4724632;4;2;2;5;1;1;0;1;0;0;5;
110000025700022;1100000257000;22;3009.4724632;4;2;2;5;2;1;0;1;0;0;5;
110000031500021;1100000315000;21;1013.9781331;2;2;2;6;1;1;0;1;0;0;1;
110000031500022;1100000315000;22;1013.9781331;2;2;2;6;2;1;0;1;0;0;1;
110000031500024;1100000315000;24;1013.9781331;1;2;2;5;4;1;0;1;0;1;1;
110000031500023;1100000315000;23;1013.9781331;1;2;2;3;3;1;0;1;0;1;1;5
110000034400023;1100000344000;23;3336.4953831;1;2;2;4;4;1;1;0;0;0;1;0
110000034400022;1100000344000;22;3336.4953831;1;2;2;4;2;1;1;0;0;0;1;0
110000034400021;1100000344000;21;3336.4953831;1;2;2;4;1;1;1;0;0;0;1;0
110000035500022;1100000355000;22;3661.9193493;1;2;2;5;2;1;1;1;0;0;4;
110000035500023;1100000355000;23;3661.9193493;1;2;2;5;3;1;0;1;0;0;4;
110000035500024;1100000355000;24;3661.9193493;1;2;2;5;4;1;0;1;0;0;4;
110000035500025;1100000355000;25;3661.9193493;1;2;2;5;5;1;0;1;0;0;4;
110000035500021;1100000355000;21;3661.9193493;1;2;2;4;1;1;1;0;0;0;4;0
110000036500021;1100000365000;21;2021.0565974;1;2;2;6;2;1;0;1;0;0;1;
110000042400021;1100000424000;21;1927.0461462;4;2;2;6;1;1;0;1;0;0;1;
110000042500021;1100000425000;21;1620.7270647;2;2;1;6;2;1;0;1;0;0;1;
110000042500022;1100000425000;22;1620.7270647;3;2;2;2;1;1;1;0;0;0;1;0
110000042500023;1100000425000;23;1620.7270647;3;2;2;2;1;1;1;0;0;0;1;70
110000045300021;1100000453000;21;3961.4127323;4;2;2;6;1;1;0;1;0;0;5;
110000046500021;1100000465000;21;2200.2499188;1;2;2;3;1;1;1;0;0;0;1;10
110000053800021;1100000538000;21;2158.0289997;1;2;2;5;1;1;0;1;0;0;5;
110000053800022;1100000538000;22;2158.0289997;1;2;2;5;2;1;0;1;0;0;5;
110000056500021;1100000565000;21;3018.8035917;2;2;2;6;1;1;0;1;0;0;4;
110000056500022;1100000565000;22;3018.8035917;2;2;2;6;2;1;0;1;0;0;4;
110000062300021;1100000623000;21;2007.1550416;4;2;2;2;1;1;0;0;0;1;5;2
110000063300021;1100000633000;21;3535.6647352;2;2;2;3;1;1;0;0;0;1;4;25
110000063400022;1100000634000;22;2041.7270456;4;2;2;6;2;1;0;1;0;0;4;
110000063400021;1100000634000;21;2041.7270456;4;2;2;1;2;1;0;1;0;0;4;75
110000064400021;1100000644000;21;3854.0777641;4;2;2;2;1;1;0;1;0;0;7;0
110000065400021;1100000654000;21;2964.2422083;4;2;2;2;1;1;1;1;0;0;4;0
110000065400022;1100000654000;22;2964.2422083;4;2;2;2;2;1;1;1;0;0;4;0
110000065500021;1100000655000;21;1688.2432181;1;2;2;6;1;1;0;1;0;0;3;
110000065500022;1100000655000;22;1688.2432181;1;2;2;6;2;1;0;1;0;0;3;
110000065500023;1100000655000;23;1688.2432181;1;2;2;6;3;1;0;1;0;0;3;
110000065500024;1100000655000;24;1688.2432181;1;2;2;4;4;1;0;1;0;0;3;0
110000072400021;1100000724000;21;1701.487359;1;2;2;4;1;1;0;1;0;1;3;0
110000072400022;1100000724000;22;1701.487359;2;2;2;4;2;1;0;1;0;1;3;0
110000073400022;1100000734000;22;2571.2436353;1;2;2;5;2;1;0;1;0;0;3;
110000073400021;1100000734000;21;2571.2436353;1;2;2;4;1;1;0;1;0;1;5;0
110000074700023;1100000747000;23;1362.6858618;6;2;2;2;1;1;0;1;0;0;4;0
110000074700022;1100000747000;22;1362.6858618;6;2;2;2;2;1;0;1;0;0;4;0
110000074700021;1100000747000;21;1362.6858618;4;2;2;2;2;1;0;1;0;1;2;20
110000075400021;1100000754000;21;2002.2834335;4;2;2;6;1;1;0;1;0;0;5;
110000076500021;1100000765000;21;2302.8022689;1;2;2;2;2;1;1;0;0;0;1;60
110000076500023;1100000765000;23;2302.8022689;3;2;2;3;2;1;1;0;0;0;1;15
110000076500024;1100000765000;24;2302.8022689;1;2;2;4;1;1;0;1;0;0;1;0
110000076500022;1100000765000;22;2302.8022689;1;2;2;4;2;1;0;1;0;0;1;0
110000076500025;1100000765000;25;2302.8022689;1;2;2;4;3;1;1;0;0;0;1;10
110000082300021;1100000823000;21;2370.5786974;1;2;2;2;1;1;0;1;0;0;5;50
110000083500022;1100000835000;22;1625.0241803;3;2;1;1;1;1;0;0;1;0;1;20
110000083500021;1100000835000;21;1625.0241803;1;2;2;3;1;1;1;0;0;0;1;0
110000083500023;1100000835000;23;1625.0241803;1;2;2;3;2;1;1;0;0;0;1;0
110000091500022;1100000915000;22;2375.7191976;2;2;2;2;1;1;0;0;1;0;1;4
110000091500021;1100000915000;21;2375.7191976;1;2;2;3;2;1;1;0;0;0;1;50
