IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;KVROUL;cylindree_fin;energie_fin;energie_agrege;hybride;energie_statinfo;energie_CritAir;critair;puis_fisc_fin;ANNEE_1mec;age;ANNEE_acq;dur_acq;KVAQUIV;KVAQUINO01;KVAQUINO02;KVAQUINO03;KVAQUINO04;KVAQUINO05;KVAQUINO06;KVAQUINO07;KVAQUINO08;KVAQUINO09;KVAQUINO10;KVAQUINO11;KVAQUINO12;KVAQUINO13;KVAQUINO14;KVAQUINO15;KVAQUINO16;KVAQUINO17;KVAQUINO18;KVAQUINO19;KVAQUINO20;KVAQUINO21;KVQUICONV01;KVQUICONV02;KVQUICONV03;KVQUICONV04;KVQUICONV05;KVQUICONV06;KVQUICONV07;KVQUICONV08;KVQUICONV09;KVQUICONV10;KVQUICONV11;KVQUICONV12;KVQUICONV13;KVQUICONV14;KVQUICONV15;KVQUICONV16;KVQUICONV17;KVQUICONV18;KVQUICONV19;KVQUICONV20;KVQUICONV21;KVQUI9COV;KVQUICONPV;KVKMV;indic_km_corr;KVKMVT;KVKM1ANV;indic_km_annu_corr;KVKM1ANVT;KVCONS;KVGAREJOUR;KVGARENUIT;KVGARELEC_FLAG;KVGARELEC_A;KVGARELEC_B
110000011400001;1100000114000;01;1842.9770767;1;1.6;ES;1;;2;4;3;7;2001;205;2001;205;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;77544.054348;INTERPO;4;2478.9161931;INTERPO;1;7.2;1;1;1;1;0
110000011500001;1100000115000;01;1948.3824415;1;1.6;GO;2;;4;2;2;5;2013;62;2013;59;1;3;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;4;3;23059.973262;INTERPO;1;3076.1497326;INTERPO;1;5.5;1;1;1;0;0
110000011500002;1100000115000;02;1948.3824415;1;1.4;ES;1;;2;4;2;5;2007;128;2016;21;1;3;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;123295.67589;INTERPO;5;3300.5605777;INTERPO;1;6;2;2;1;0;0
110000011600001;1100000116000;01;833.45366972;1;1.6;ES;1;;2;4;3;7;2004;168;2004;164;1;1;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;78334.766798;INTERPO;4;3902.8874125;INTERPO;1;9;1;1;1;0;0
110000012400001;1100000124000;01;1698.1427817;1;1.5;GO;2;;4;2;2;6;2012;76;2013;60;1;1;2;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;2;1;112100.15653;INTERPO;5;15980.511731;INTERPO;5;6.5;2;2;1;1;0
110000012500002;1100000125000;02;1994.6334961;1;1.5;GO;2;;4;2;3;6;2009;104;2016;23;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;21;72458.550725;INTERPO;3;3349.2692109;INTERPO;1;5.7;1;1;1;1;0
110000012500001;1100000125000;01;1994.6334961;1;1.1;ES;1;;2;4;N;4;1997;251;1997;251;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;172669.72736;ESTIMAT;6;3320.3552906;ESTIMAT;1;5.2;1;1;1;1;0
110000013500001;1100000135000;01;1921.6107867;1;1.5;GO;2;;4;2;3;4;2009;108;2012;77;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;144467.15789;INTERPO;5;11506.571637;INTERPO;4;6.5;1;1;1;1;0
110000013600001;1100000136000;01;1571.0859053;1;2;GO;2;;4;2;3;8;2010;101;2010;101;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;222832.07782;INTERPO;7;24980.896367;INTERPO;6;9999;4;4;1;0;0
110000014400002;1100000144000;02;1653.3892259;1;1;ES;1;;2;4;1;4;2016;31;2016;31;1;1;2;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;3;1;18501.760841;INTERPO;1;11027.819167;INTERPO;4;5.9;4;4;1;0;0
110000014400001;1100000144000;01;1653.3892259;1;2;ES;1;;2;4;1;12;2009;108;2011;91;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;3;1;85551.603022;INTERPO;4;8269.1552198;INTERPO;3;8;2;1;1;1;0
110000014600002;1100000146000;02;2937.6634796;1;1.4;ES;1;;2;4;3;6;2005;160;2014;51;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;93438.488372;INTERPO;4;12000;ENQUETE;4;5.8;2;2;1;0;0
110000014600001;1100000146000;01;2937.6634796;1;1.5;GO;2;;4;2;2;6;2011;94;2015;43;1;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;137176.58559;INTERPO;5;21445.12012;INTERPO;6;5.2;1;1;1;1;0
110000015400002;1100000154000;02;1824.952319;1;1.6;GO;2;;4;2;2;7;2017;25;2018;3;4;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;108853.71429;INTERPO;5;24863.855629;INTERPO;6;7.5;4;4;1;0;0
110000015400001;1100000154000;01;1824.952319;1;1.6;GO;2;;4;2;3;6;2009;118;2013;66;1;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;101510.04478;INTERPO;5;9766.3214266;INTERPO;3;6.5;4;4;1;0;0
110000015500002;1100000155000;02;1590.5767484;1;1.5;GO;2;;4;2;3;5;2009;114;2010;103;1;2;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;4;2;80123.304161;INTERPO;4;4501.0068957;INTERPO;2;9999;2;2;1;0;0
110000015500001;1100000155000;01;1590.5767484;1;1;ES;1;;2;4;1;4;2010;100;2012;78;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;46090.210526;INTERPO;2;2556.1345295;INTERPO;1;9999;3;2;1;0;0
