IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;KVAVCATAV;ANNEE_1mec;ANNEE_acq;age_mois_veh;KVQUICONAV01;KVQUICONAV02;KVQUICONAV03;KVQUICONAV04;KVQUICONPAV;KVKM1ANAV;KVKM1ANAVT;KVPARKAV
210000381600011;2100003816000;11;2165.9197433;2;2016;2018;28;1;;;;;200;;1
220000042100011;2200000421000;11;1119.1081482;2;2008;2012;121;1;;;;;200;;1
220000044200011;2200000442000;11;1033.061013;2;2015;2015;42;1;;;;;500;;1
220000044200012;2200000442000;12;1033.061013;2;2013;2016;68;1;;;;;200;;1
220000045200011;2200000452000;11;1075.4654064;2;2011;2011;89;2;;;;;;6;1
220000073200011;2200000732000;11;1639.4289697;2;2018;2018;2;1;2;;;1;550;;1
220000245400011;2200002454000;11;2049.1661992;1;2018;2018;12;1;;;;;;9;1
240000152200011;2400001522000;11;1861.8518419;2;2015;2015;42;1;;;;;;3;1
240000185500011;2400001855000;11;1796.3986214;2;2013;2015;70;1;;;;;20;;1
240000245500011;2400002455000;11;1364.026422;2;2014;2015;59;1;2;4;3;1;2000;;1
240000266500011;2400002665000;11;1338.8210761;2;2014;2018;54;1;;;;;4000;;1
240000284500011;2400002845000;11;1184.848131;1;.;.;;2;;;;;;6;1
240000302400011;2400003024000;11;1307.6403165;1;1992;2016;315;2;4;;;2;;9;2
250000083200011;2500000832000;11;1136.559219;2;.;2016;;2;;;;;1000;;1
250000115200011;2500001152000;11;1930.4869432;1;2005;2007;157;1;;;;;;9;1
250000131200011;2500001312000;11;1706.4389132;2;2004;2004;168;1;;;;;;6;1
250000146400011;2500001464000;11;2340.0529724;1;2011;2018;93;1;;;;;26000;;4
250000201400011;2500002014000;11;6153.9138045;2;.;2003;;1;;;;;0;;1
260000016800011;2600000168000;11;1322.7761251;1;.;.;;2;;;;;;9;9
260000016800012;2600000168000;12;1322.7761251;1;2006;2015;159;1;;;;;;9;2
