ident_ind;ident_men;ident_log;NOI;BS;HABRP;vague_enq;SEXE;ANAIS;AGE;AGEJANV;AG;AGEQ;AGQ;AGE6;AG6;LNAIS;NAIS7;ANARRIV;INATIO;NATIO7;COUPLE;COUPLRP;CONJOINT;ETAMATRI;PACS;LIENTYP;LIENPERS;ENFANT;ENFRP;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;AIDE1E;IDENTAID;TYPOLOG;JOURAN;JOURSEM;MOISAN;JOUR2AN;DOLOG;IDOLOG;IPROPLOC;AUTLOG;LOGCOL;TYPLOGCO;TYPLOGCO_A;TYPLOGCO_B;TYPLOGCO_C;TYPLOGCO_D;TYPLOGCO_E;TYPLOGCO_F;TYPLOGCO_G;TYPLOGCO_H;LOGIND;NAUTLOG_IND;NOLOG1_IND;TYPOLOGD1;JOURAND1;JOURSEMD1;MOISAND1;JOUR2AND1;DOLOGD1;NOLOG2_IND;TYPOLOGD2;JOURAND2;JOURSEMD2;MOISAND2;JOUR2AND2;DOLOGD2;HANDICAP;IGREF;PRACT;IPRAN;LIENPREF;LIENPRRP;FAMPRINC;CS42;CS24;SITUA;ACTIF;ACTOCCUP;ACTOCCUPE;TRAVAIL;TRAVAILNR;ACTIVANTE;STATUT;RECHEMPLOI;CS_ACT;TYPEMPLOI;TITULAIREFP;TEMPTRAV;SUPERVISION;CLASSIF;FONCTION;SALARIES;STATUTANTE;SUPERVISANTE;CLASSIFANTE;CS_ANTE;STATUTCD;CLASSIFCD;CS_DCD;DIP11;DDIPL;MER1E;MER2E;PER1E;PER2E;APART;TYPFAM
110000011400001;1100000114000;110000011400;01;0;1;1;2;1933;84;84;85;75;75;60;60;1;1;;1;1;3;2;;3;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;75;73;5;2;2;0;2;2;1;;3;;;;;;;;;3;3;5;46;3;7;38;31;3;3;;3;;;0
110000011500001;1100000115000;110000011500;01;0;1;1;1;1998;19;19;20;15;20;15;15;1;1;;1;1;3;2;;1;2;;;1;1;00;02;02;10;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;3;1;2;02;02;1;84;82;3;2;2;0;2;2;2;;3;;;;;;;;;;;;;;;;42;4;1;2;1;3;2;1
110000011600002;1100000116000;110000011600;02;0;1;1;2;1938;80;79;80;75;75;60;60;1;1;;1;1;1;1;1;2;;;;2;2;01;00;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;01;1;86;82;6;2;2;0;2;2;2;;3;;;;;;;;;;;;;;;;70;7;3;;3;;2;0
110000012400001;1100000124000;110000012400;01;0;1;2;1;1957;61;60;61;60;60;60;60;1;1;;1;1;1;1;2;2;;;;2;2;00;01;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;00;1;38;36;1;1;1;0;1;;;3;3;38;6;;1;3;7;8;;;;;;;;;10;1;3;;3;;2;0
110000012500002;1100000125000;110000012500;02;0;1;2;1;1953;64;64;65;60;65;60;60;2;3;1958;2;2;1;1;1;2;;;;2;2;01;00;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;1;2;2;2;01;00;1;78;76;5;2;2;0;2;2;1;;3;;;;;;;;;3;3;2;62;;;;50;5;3;;3;;2;0
110000013500002;1100000135000;110000013500;02;0;1;3;1;1988;30;29;30;30;30;30;30;1;1;;1;1;3;2;;1;2;;;1;1;02;00;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;0;2;2;02;02;1;64;61;1;1;1;0;1;;;3;3;64;6;;1;3;;;;;;;;;;;42;4;1;1;2;;2;3
110000013600001;1100000136000;110000013600;01;0;1;3;2;1970;48;47;48;45;45;40;40;1;1;;1;1;3;2;;1;2;;;2;2;00;03;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;37;36;1;1;1;0;1;;;3;3;37;6;;2;2;7;7;;;;;;;;;11;1;2;;2;;2;3
110000014400001;1100000144000;110000014400;01;0;1;4;1;1963;55;54;55;55;55;50;50;1;1;;1;1;1;1;2;2;;;;2;2;00;01;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;52;51;1;1;1;0;1;;;1;3;52;6;1;1;2;8;11;;;;;;;;;42;4;2;;3;;2;0
110000014600002;1100000146000;110000014600;02;0;1;4;1;1971;47;46;47;45;45;40;40;1;1;;1;1;1;1;1;1;1;;;2;2;01;00;03;03;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;00;1;37;36;1;1;1;0;1;;;3;3;37;6;;1;3;7;;;;;;;;;;50;5;2;;3;;2;1
110000014700001;1100000147000;110000014700;01;0;1;4;2;1968;50;49;50;50;50;50;50;1;1;;1;1;3;2;;1;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;43;41;1;1;1;0;1;;;7;3;43;;;;;;;0;;;;;;;;33;3;2;;3;;;0
