ident_ind;ident_men;ident_log;NOI;SEXE;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;tr_age
110000011400001;1100000114000;110000011400;01;2;00;;;;;;;;;;75 ans et plus
110000011500001;1100000115000;110000011500;01;1;00;02;02;10;;;;;;;De 18 à 25 ans
110000011500002;1100000115000;110000011500;02;2;03;00;01;03;;;;;;;De 35 à 49 ans
110000011500003;1100000115000;110000011500;03;1;03;01;00;03;;;;;;;De 35 à 49 ans
110000011500004;1100000115000;110000011500;04;2;10;02;02;00;;;;;;;Moins de 18 ans
110000011600001;1100000116000;110000011600;01;1;00;01;;;;;;;;;75 ans et plus
110000011600002;1100000116000;110000011600;02;2;01;00;;;;;;;;;75 ans et plus
110000012400001;1100000124000;110000012400;01;1;00;01;;;;;;;;;De 50 à 64 ans
110000012400002;1100000124000;110000012400;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000012500001;1100000125000;110000012500;01;2;00;01;;;;;;;;;De 50 à 64 ans
110000012500002;1100000125000;110000012500;02;1;01;00;;;;;;;;;De 50 à 64 ans
110000013500001;1100000135000;110000013500;01;2;00;03;;;;;;;;;De 50 à 64 ans
110000013500002;1100000135000;110000013500;02;1;02;00;;;;;;;;;De 25 à 34 ans
110000013600001;1100000136000;110000013600;01;2;00;03;;;;;;;;;De 35 à 49 ans
110000013600002;1100000136000;110000013600;02;1;02;00;;;;;;;;;Moins de 18 ans
110000014400001;1100000144000;110000014400;01;1;00;01;;;;;;;;;De 50 à 64 ans
110000014400002;1100000144000;110000014400;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000014600001;1100000146000;110000014600;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000014600002;1100000146000;110000014600;02;1;01;00;03;03;;;;;;;De 35 à 49 ans
110000014600003;1100000146000;110000014600;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000014600004;1100000146000;110000014600;04;2;02;02;10;00;;;;;;;Moins de 18 ans
110000014700001;1100000147000;110000014700;01;2;00;;;;;;;;;;De 50 à 64 ans
110000015300001;1100000153000;110000015300;01;2;00;03;;;;;;;;;De 35 à 49 ans
110000015300002;1100000153000;110000015300;02;1;02;00;;;;;;;;;De 18 à 25 ans
110000015400001;1100000154000;110000015400;01;1;00;01;03;;;;;;;;De 50 à 64 ans
110000015400002;1100000154000;110000015400;02;2;01;00;03;;;;;;;;De 35 à 49 ans
110000015400003;1100000154000;110000015400;03;2;02;02;00;;;;;;;;Moins de 18 ans
110000015500001;1100000155000;110000015500;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000015500002;1100000155000;110000015500;02;1;01;00;03;03;;;;;;;De 35 à 49 ans
110000015500003;1100000155000;110000015500;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000015500004;1100000155000;110000015500;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000015700001;1100000157000;110000015700;01;2;00;;;;;;;;;;De 65 à 74 ans
110000015800001;1100000158000;110000015800;01;2;00;03;10;;;;;;;;De 35 à 49 ans
110000015800002;1100000158000;110000015800;02;2;02;00;50;;;;;;;;Moins de 18 ans
110000015800003;1100000158000;110000015800;03;2;10;50;00;;;;;;;;De 25 à 34 ans
110000016500001;1100000165000;110000016500;01;1;00;01;;;;;;;;;De 65 à 74 ans
110000016500002;1100000165000;110000016500;02;2;01;00;;;;;;;;;De 65 à 74 ans
110000016700001;1100000167000;110000016700;01;1;00;01;03;03;03;;;;;;De 35 à 49 ans
110000016700002;1100000167000;110000016700;02;2;01;00;03;03;03;;;;;;De 35 à 49 ans
110000016700003;1100000167000;110000016700;03;1;02;02;00;10;10;;;;;;Moins de 18 ans
110000016700004;1100000167000;110000016700;04;1;02;02;10;00;10;;;;;;Moins de 18 ans
110000016700005;1100000167000;110000016700;05;2;02;02;10;10;00;;;;;;Moins de 18 ans
110000022300001;1100000223000;110000022300;01;2;00;03;;;;;;;;;De 50 à 64 ans
110000022300002;1100000223000;110000022300;02;1;02;00;;;;;;;;;De 25 à 34 ans
110000022500001;1100000225000;110000022500;01;2;00;;;;;;;;;;De 50 à 64 ans
110000022600001;1100000226000;110000022600;01;1;00;01;03;03;03;;;;;;De 35 à 49 ans
110000022600002;1100000226000;110000022600;02;2;01;00;03;03;03;;;;;;De 35 à 49 ans
110000022600003;1100000226000;110000022600;03;1;02;02;00;10;10;;;;;;Moins de 18 ans
110000022600004;1100000226000;110000022600;04;2;02;02;10;00;10;;;;;;Moins de 18 ans
110000022600005;1100000226000;110000022600;05;2;02;02;10;10;00;;;;;;Moins de 18 ans
110000022700001;1100000227000;110000022700;01;1;00;;;;;;;;;;De 50 à 64 ans
110000022800001;1100000228000;110000022800;01;1;00;;;;;;;;;;De 50 à 64 ans
110000023400001;1100000234000;110000023400;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000023400002;1100000234000;110000023400;02;1;01;00;03;03;;;;;;;De 35 à 49 ans
110000023400003;1100000234000;110000023400;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000023400004;1100000234000;110000023400;04;2;02;02;10;00;;;;;;;Moins de 18 ans
110000023500001;1100000235000;110000023500;01;2;00;01;;;;;;;;;De 50 à 64 ans
110000023500002;1100000235000;110000023500;02;1;01;00;;;;;;;;;De 65 à 74 ans
110000023800001;1100000238000;110000023800;01;1;00;;;;;;;;;;De 35 à 49 ans
110000024300001;1100000243000;110000024300;01;2;00;;;;;;;;;;75 ans et plus
110000025500001;1100000255000;110000025500;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000025500002;1100000255000;110000025500;02;1;01;00;32;03;;;;;;;De 35 à 49 ans
110000025500003;1100000255000;110000025500;03;1;02;31;00;10;;;;;;;Moins de 18 ans
110000025500004;1100000255000;110000025500;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000025700001;1100000257000;110000025700;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000025700002;1100000257000;110000025700;02;1;01;00;03;03;;;;;;;De 35 à 49 ans
110000025700003;1100000257000;110000025700;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000025700004;1100000257000;110000025700;04;2;02;02;10;00;;;;;;;Moins de 18 ans
110000026400001;1100000264000;110000026400;01;1;00;01;;;;;;;;;De 65 à 74 ans
110000026400002;1100000264000;110000026400;02;2;01;00;;;;;;;;;De 50 à 64 ans
110000026500001;1100000265000;110000026500;01;2;00;01;;;;;;;;;De 25 à 34 ans
110000026500002;1100000265000;110000026500;02;1;01;00;;;;;;;;;De 35 à 49 ans
110000026800001;1100000268000;110000026800;01;1;00;;;;;;;;;;De 50 à 64 ans
110000031300001;1100000313000;110000031300;01;1;00;01;03;03;03;;;;;;De 50 à 64 ans
110000031300002;1100000313000;110000031300;02;2;01;00;03;03;03;;;;;;De 25 à 34 ans
110000031300003;1100000313000;110000031300;03;1;02;02;00;10;10;;;;;;Moins de 18 ans
110000031300004;1100000313000;110000031300;04;1;02;02;10;00;10;;;;;;Moins de 18 ans
110000031300005;1100000313000;110000031300;05;1;02;02;10;10;00;;;;;;Moins de 18 ans
110000031400001;1100000314000;110000031400;01;2;00;03;;;;;;;;;De 25 à 34 ans
110000031400002;1100000314000;110000031400;02;1;02;00;;;;;;;;;Moins de 18 ans
110000031500001;1100000315000;110000031500;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000031500002;1100000315000;110000031500;02;1;01;00;03;03;;;;;;;De 50 à 64 ans
110000031500003;1100000315000;110000031500;03;1;02;02;00;10;;;;;;;De 18 à 25 ans
110000031500004;1100000315000;110000031500;04;1;02;02;10;00;;;;;;;Moins de 18 ans
110000032500001;1100000325000;110000032500;01;1;00;01;03;;;;;;;;De 50 à 64 ans
110000032500002;1100000325000;110000032500;02;2;01;00;03;;;;;;;;De 50 à 64 ans
110000032500003;1100000325000;110000032500;03;1;02;02;00;;;;;;;;De 25 à 34 ans
110000032600001;1100000326000;110000032600;01;2;00;01;03;;;;;;;;De 35 à 49 ans
110000032600002;1100000326000;110000032600;02;1;01;00;03;;;;;;;;De 50 à 64 ans
110000032600003;1100000326000;110000032600;03;2;02;02;00;;;;;;;;Moins de 18 ans
110000032800001;1100000328000;110000032800;01;2;00;02;03;03;;;;;;;De 35 à 49 ans
110000032800002;1100000328000;110000032800;02;2;03;00;22;22;;;;;;;De 50 à 64 ans
110000032800003;1100000328000;110000032800;03;1;02;21;00;10;;;;;;;Moins de 18 ans
110000032800004;1100000328000;110000032800;04;1;02;21;10;00;;;;;;;Moins de 18 ans
110000033300001;1100000333000;110000033300;01;2;00;;;;;;;;;;De 50 à 64 ans
110000033400001;1100000334000;110000033400;01;2;00;01;03;;;;;;;;De 35 à 49 ans
110000033400002;1100000334000;110000033400;02;1;01;00;03;;;;;;;;De 35 à 49 ans
110000033400003;1100000334000;110000033400;03;1;02;02;00;;;;;;;;De 18 à 25 ans
110000033500001;1100000335000;110000033500;01;2;00;01;03;03;;;;;;;De 35 à 49 ans
110000033500002;1100000335000;110000033500;02;1;01;00;03;03;;;;;;;De 35 à 49 ans
110000033500003;1100000335000;110000033500;03;1;02;02;00;10;;;;;;;Moins de 18 ans
110000033500004;1100000335000;110000033500;04;2;02;02;10;00;;;;;;;Moins de 18 ans
110000033800001;1100000338000;110000033800;01;2;00;;;;;;;;;;75 ans et plus
110000034400001;1100000344000;110000034400;01;1;00;01;03;03;;;;;;;De 50 à 64 ans
110000034400002;1100000344000;110000034400;02;2;01;00;03;03;;;;;;;De 50 à 64 ans
110000034400003;1100000344000;110000034400;03;1;02;02;00;10;;;;;;;De 18 à 25 ans
110000034400004;1100000344000;110000034400;04;2;02;02;10;00;;;;;;;De 18 à 25 ans
110000034700001;1100000347000;110000034700;01;2;00;01;;;;;;;;;De 65 à 74 ans
110000034700002;1100000347000;110000034700;02;1;01;00;;;;;;;;;De 65 à 74 ans
110000035300001;1100000353000;110000035300;01;2;00;;;;;;;;;;De 35 à 49 ans
110000035400001;1100000354000;110000035400;01;2;00;;;;;;;;;;De 50 à 64 ans
110000035500001;1100000355000;110000035500;01;1;00;01;03;03;03;;;;;;De 35 à 49 ans
110000035500002;1100000355000;110000035500;02;2;01;00;03;03;03;;;;;;De 35 à 49 ans
110000035500003;1100000355000;110000035500;03;2;02;02;00;10;10;;;;;;Moins de 18 ans
110000035500004;1100000355000;110000035500;04;2;02;02;10;00;10;;;;;;Moins de 18 ans
110000035500005;1100000355000;110000035500;05;2;02;02;10;10;00;;;;;;Moins de 18 ans
