age_grp.x;pop_age_grp;sex;cc_incidence;dem_incidence;bc_incidence;cvd_incidence;diab2_incidence;cancer_incidence;dep_prevalence
20-24;1881567;Female;45;0;44;370;1080;709;284117
25-29;1948081;Female;60;0;269;320;1200;1479;558718
30-34;2042759;Female;91;0;808;440;1790;2603;0
35-39;2053471;Female;173;0;1808;700;2780;4348;628757
40-44;1977024;Female;326;10;3386;1090;4090;6858;0
45-49;2212404;Female;607;40;5784;2050;6860;11124;612156
50-54;2191596;Female;955;100;6318;3420;10290;14002;0
55-59;2156919;Female;1348;250;5864;5020;13070;16019;503162
60-64;2071331;Female;1831;520;6717;7400;15190;18879;0
65-69;2022431;Female;2483;1240;8187;10670;15880;23237;295319
70-74;1715789;Female;2519;3140;6719;14150;13660;21246;0
75-79;1179524;Female;2346;5330;4102;13690;8890;15940;0
80-84;1089674;Female;2804;9700;3778;15320;6410;17176;0
85-89;878399;Female;4475;12610;4672;14700;3830;22611;0
20-24;1929451;Male;32;0;0;410;990;562;160144
25-29;1979275;Male;58;0;0;440;1120;1045;341401
30-34;2085026;Male;95;0;0;800;1820;1755;0
35-39;2059118;Male;148;10;0;1500;3270;3086;309637
40-44;1962142;Male;258;20;0;2790;5380;5643;0
45-49;2161361;Male;553;50;0;5990;9120;10536;273097
50-54;2105778;Male;1069;120;0;9610;13410;18754;0
55-59;2030177;Male;1748;290;0;13520;17070;27000;180625
60-64;1896448;Male;2582;540;0;16680;18990;36143;0
65-69;1815948;Male;3650;1080;0;20260;18140;33206;89150
70-74;1485920;Male;3620;2250;0;21680;14710;23777;0
75-79;929196;Male;3049;3210;0;15850;7880;21251;0
80-84;717943;Male;3046;4560;0;12770;4480;18235;0
85-89;457974;Male;3271;4550;0;8700;2260;293;0
